Image Number,Shutter (ms),Brightness (%),Gain (dB),Exposure (EV),White Balance Blue,White Balance Red,Mean Blue Pixel Intensity,Mean Green Pixel Intensity,Mean Red Pixel Intensity,Illuminance (lux)
0,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0148803710937447,0.00755233764648556,0.0114379882812481,2.07170009613037
1,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0173217773437425,0.00870361328125047,0.0130126953124966,2.07159996032715
2,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0160278320312437,0.00850448608398502,0.0128723144531218,2.09969997406006
3,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0170074462890552,0.0088928222656253,0.0128662109374968,1.9835000038147
4,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0154541015624942,0.0082778930664071,0.0127044677734344,2.10920000076294
5,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0166107177734307,0.00855026245117247,0.013095092773434,2.11999988555908
6,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0159271240234313,0.00867309570312549,0.0125946044921845,2.1496000289917
7,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0153778076171818,0.0079238891601574,0.0121307373046849,2.06060004234314
8,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0177276611328047,0.00960159301757782,0.0148468017578075,2.00279998779297
9,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0160064697265563,0.00798568725586047,0.0116333007812479,1.99199998378754
10,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0160003662109312,0.00800704956054796,0.0122192382812473,2.04209995269775
11,0.392615795135498,0.48828125,0,1.4998779296875,550,810,0.0168792724609304,0.00855712890625059,0.0132507324218714,2.06089997291565
