x,y,yaw,velocity
0,0,-172.68,0
0,0,-172.71,0
0,0,-172.72,0
0,0,-172.73,0
0,0,-172.71,0
0,0,-172.59,0
0,0,-173.81,0
-0.00314104838818696,-0.00250074573547739,-176.72,0.257369313862617
-0.00148525419704103,0.024227272212862,178.57,0.352941592251446
2.33255739936419E-05,0.00632872426900565,173.41,0.401927797319338
-0.0262593691505695,0.0185150228379557,168.81,0.452154993492254
-0.00576128797662185,0.0493948257429942,164.33,0.475405947117625
0.0100091929633781,0.00384965073701324,160.12,0.465298539399038
0.0104790156234633,0.00377019626974087,153.93,0.470924828507262
0.0131494599034623,0.0123778028189325,147.13,0.476184025590813
0.0229148628274824,-0.0159850728437502,141.67,0.483633858786719
-0.0454892816850495,0.0862579691918402,138.97,0.719017804013922
-0.015337331904347,0.0214849205249987,135.27,0.715481480372019
-0.0575344495670096,0.039688726677732,130.21,0.667132920665197
-0.0576906637939026,0.0453316339432577,123.66,0.572666837305982
-0.0637293041130205,0.0461005734436728,117.64,0.487158817473828
-0.0414348935579638,0.10290946055364,113.99,0.536514098471827
-0.0887373390430862,0.037348861176314,111,0.478626231257187
-0.086924707886579,0.0356397357612825,104.94,0.418595419246088
-0.0665367750851152,0.0320597301444253,97.58,0.422060199147689
-0.0715738501549223,0.0492329197909101,88.64,0.41518706235304
-0.0639928725433668,0.04240381502556,77.07,0.410092320190015
-0.0672062954950237,0.0385592937660873,63.28,0.422673344198579
-0.0665275289631621,0.0369117126077906,49.68,0.396260493014883
-0.0677064386388363,0.0520260278905242,36.64,0.573663126166988
-0.0736738144925077,0.052451716237784,24.58,0.574129248266021
-0.0711727702609142,0.0710189899262185,13.24,0.638044823763128
-0.0730265899713452,0.0759620792135129,1.11,0.56161274824705
-0.0771445772938652,0.0552080812552404,-7.77,0.59735790746519
-0.0634235456878847,0.0758744992344222,-16.1,0.7419927203438
-0.0735769584468959,0.0140403634713192,-21.48,0.874491420405193
-0.0579263449191288,0.0451586580023924,-28.49,0.793792886183882
-0.0567485319209439,0.0571262145494778,-35.55,0.611765426569174
-0.0693161898796399,0.0596383433371449,-42.33,0.552701248610098
-0.0423472737553948,0.0630148324816261,-48.18,0.602744756740406
-0.0895924309128109,0.00834084605216354,-52.18,0.825730129183935
-0.0890981832937022,0.00695287709126854,-58.25,0.767793150234674
-0.0515074002924471,0.0303468730109202,-66.62,0.760942072894119
-0.0813178284822279,0.00913753719987121,-76.84,0.587286092829704
-0.0758517895745778,0.025093004913691,-87.93,0.501228564431675
-0.0516669537451913,0.0117128413244555,-97.81,0.537213367417375
-0.0645416347885044,0.0334412592806749,-108.16,0.487446878270599
-0.0681013806249067,0.00306411167705717,-117.15,0.509541925807332
-0.0741961804560563,0.0296944837588808,-126.64,0.549630344906297
-0.0640012901477424,0.019798487178228,-135.84,0.530529172349219
-0.0836976561203343,0.0313736335272382,-144.81,0.549447175495642
-0.0561329329018012,0.034093618545732,-152.88,0.559389671320037
-0.0548677369099062,0.0327168490293764,-158.89,0.571938422041139
-0.0942610814211374,0.0195389587303946,-163.3,0.640274883341329
-0.0692427684639265,-0.0173115982390986,-168.07,0.628717868795191
-0.0151235659857688,0.0359146636050866,-173.9,0.601571816323494
-0.013335263699106,0.020606420739698,179.78,0.57559914742369
-0.0875236353967926,0.0739858212106568,176.41,0.618729481337475
-0.245377292878186,0.0986864795211985,176.49,0.778181792607264
-0.381885541534568,0.0287971417513159,175.44,0.672210311743921
-0.480008168488521,-0.0623870012161991,176.24,0.572335509582478
-0.59526839715757,-0.0397774969061858,177.21,0.462990122045471
-0.564603118519239,0.0289599395307766,179.51,0.373800141612135
-0.47728457322881,0.0251420453317102,179.71,0.373800141612135
-0.414729834415636,0.0556973948794016,-179.33,0.373800141612135
-0.436066003271077,0.128691442703612,-178.13,0.373800141612135
-0.510940837392894,0.173532549495462,-177.83,0.373800141612135
-0.584983049825451,0.182109300704141,-177.16,0
-0.584983049825451,0.182109300704141,-176.73,0
-0.584983049825451,0.182109300704141,-176.25,0
-0.584983049825451,0.182109300704141,-175.95,0
