Orientation,Intensity
0,0.0249849001350727
5,0.0108522245226971
10,0.00988593484146068
15,0.0138499586864734
20,0.0117570717927576
25,0.0153071663247055
30,0.00965295521468845
35,0.00983438024420079
40,0.0139030206084767
45,0.0248673199230069
50,0.00987182452808741
55,0.0100665446108122
60,0.0181590048900276
65,0.0125237081189135
70,0.0156308761365231
75,0.0102357684457329
80,0.0105296780948709
85,0.0216712007927863
90,0.0258206007008807
95,0.0104484262989689
100,0.010322591239289
105,0.0151731497985642
110,0.0119943711604657
115,0.0172007374250307
120,0.00979142194975553
125,0.00972084781043294
130,0.0146417919312325
135,0.0238184444472685
140,0.00938802931873578
145,0.00950702792880694
150,0.0146270973618052
155,0.0105741951800789
160,0.01316162947472
165,0.0094483833365209
170,0.00941888871707988
175,0.0222120235198244
180,0.0258340796754098
185,0.00966623130501228
190,0.00946637434125194
195,0.0141231900955199
200,0.0110458407153723
205,0.0158949943536973
210,0.00928139729081549
215,0.00947966009065262
220,0.0153374051485149
225,0.0264291115177287
230,0.00954967272492658
235,0.00953006575525362
240,0.0184355259029594
245,0.0119296092049841
250,0.0157980507461511
255,0.00982483984611486
260,0.0100136539331655
265,0.021812836456873
270,0.025922834127371
275,0.0100762072044698
280,0.00977318868840667
285,0.0139348781394809
290,0.0112109394143576
295,0.0155658600729907
300,0.0101085867470234
305,0.00975273678070896
310,0.0140514017670138
315,0.0232348201932678
320,0.00956432357509429
325,0.00975042724050219
330,0.0156076872435198
335,0.0114871112257316
340,0.0141769495644234
345,0.00992307153726434
350,0.0105272187012278
355,0.0210260231619295
